"OldName","NewName"
"1. Open Journal with Pen.png","01-open-journal-with-pen.png"
"10. Phone with Health Icons.png","10-phone-with-health-icons.png"
"11. Phone with Recovery Logo.png","11-phone-with-recovery-logo.png"
"12. Ai Assistant - Chat.png","12-ai-assistant-chat.png"
"13. Speech Bubble with Heart.png","13-speech-bubble-with-heart.png"
"14. Lifebuoy - Emergency.png","14-lifebuoy-emergency.png"
"15. Report Sheet with Bar Chart.png","15-report-sheet-with-bar-chart.png"
"16. Notebook - Journal Closed with Pen.png","16-notebook-journal-closed-with-pen.png"
"17. Leaves Decoration.png","17-leaves-decoration.png"
"18. Map with Circular Geofence around Pin.png","18-map-with-circular-geofence-around-pin.png"
"19. Success Checkmark.png","19-success-checkmark.png"
"2. Two Chat Bubbles.png","02-two-chat-bubbles.png"
"20. Doctor Avatar.png","20-doctor-avatar.png"
"21. Patient Avatar.png","21-patient-avatar.png"
"22. Privacy Shield.png","22-privacy-shield.png"
"23. Open Book (Journal Empty State).png","23-open-book-journal-empty-state.png"
"24. RecovAI Logo Illustration.png","24-recovai-logo-illustration.png"
"25. Footsteps (Progress).png","25-footsteps-progress.png"
"26. Mountain Peak (Achievement).png","26-mountain-peak-achievement.png"
"27. Sunrise (New Beginning).png","27-sunrise-new-beginning.png"
"28. Growing Tree.png","28-growing-tree.png"
"29. Lotus Flower (Healing).png","29-lotus-flower-healing.png"
"3. Analytics Report.png","03-analytics-report.png"
"30. Hands Holding Heart.png","30-hands-holding-heart.png"
"31. Helping Hands.png","31-helping-hands.png"
"32. Compass (Right Path).png","32-compass-right-path.png"
"33. Bridge (Overcoming).png","33-bridge-overcoming.png"
"34. Lighthouse (Guidance).png","34-lighthouse-guidance.png"
"35. Home (Safe Place).png","35-home-safe-place.png"
"36. Park Bench (Mindfulness).png","36-park-bench-mindfulness.png"
"37. Water Drop (Calmness).png","37-water-drop-calmness.png"
"38. Moon & Stars (Sleep).png","38-moon-and-stars-sleep.png"
"39. Shoe (Step Counter).png","39-shoe-step-counter.png"
"4. Calendar.png","04-calendar.png"
"40. Heartbeat Line.png","40-heartbeat-line.png"
"41. Medication Bottle.png","41-medication-bottle.png"
"42. Trophy Milestones.png","42-trophy-milestones.png"
"43. Medal.png","43-medal.png"
"44. Ribbon Badge.png","44-ribbon-badge.png"
"45. Target (Bullseye).png","45-target-bullseye.png"
"46. Bell (Reminders).png","46-bell-reminders.png"
"47. Cloud with Sun (Better Days).png","47-cloud-with-sun-better-days.png"
"48. Puzzle Piece (Mental Wellbeing).png","48-puzzle-piece-mental-wellbeing.png"
"49. AI Brain (AI Insights).png","49-ai-brain-ai-insights.png"
"5. Calendar with Clock.png","05-calendar-with-clock.png"
"6. Calendar with Red X.png","06-calendar-with-red-x.png"
"7. Calendar with Checkmark.png","07-calendar-with-checkmark.png"
"8. Shield with Checkmark.png","08-shield-with-checkmark.png"
"9. Map with Location Pin.png","09-map-with-location-pin.png"
"Streak 1 (1-5 Days).png","streak-1-1-5-days.png"
"Streak 10 (126-150 Days).png","streak-10-126-150-days.png"
"Streak 11 (151-200 Days).png","streak-11-151-200-days.png"
"Streak 12 (201-225 Days).png","streak-12-201-225-days.png"
"Streak 13 (226-250 Days).png","streak-13-226-250-days.png"
"Streak 14 (251-275 Days).png","streak-14-251-275-days.png"
"Streak 15 (276-300 Days).png","streak-15-276-300-days.png"
"Streak 16 (301-350 Days).png","streak-16-301-350-days.png"
"Streak 2 (6-10 Days).png","streak-2-6-10-days.png"
"Streak 3 (11-20 Days).png","streak-3-11-20-days.png"
"Streak 4 (21-30 Days).png","streak-4-21-30-days.png"
"Streak 5 (31-40 Days).png","streak-5-31-40-days.png"
"Streak 6 (41-50 Days).png","streak-6-41-50-days.png"
"Streak 7 (51-75 Days).png","streak-7-51-75-days.png"
"Streak 8 (76-100 Days).png","streak-8-76-100-days.png"
"Streak 9 (101-125 Days).png","streak-9-101-125-days.png"
